trip_id,route_id,stop_id,stop_name,sequence,scheduled_arrival_min,actual_arrival_min,passengers_boarding,passengers_alighting,passenger_load,bus_capacity,expected_dwell_sec,dwell_time_sec,dwell_excess_sec,issue_wait_sec,traffic_delay_sec,added_delay_sec,cumulative_delay_sec,delay_cause,is_peak
T001,B12,S01,North Station,1,0,1.0,13,4,9,60,43.2,51,7.8,8,54,62,62,schedule_gap,True
T001,B12,S02,Market Street,2,6,7.8,20,4,25,60,53.0,63,10.0,10,36,46,108,traffic,True
T001,B12,S03,Central Hospital,3,12,15.5,28,5,48,60,64.2,117,52.8,53,51,104,212,boarding,True
T001,B12,S04,University Gate,4,18,22.5,25,9,60,60,60.0,84,24.0,24,33,57,269,boarding,True
T001,B12,S05,Civic Center,5,24,30.0,12,6,60,60,41.8,75,33.2,34,59,93,362,schedule_gap,True
T002,B12,S01,North Station,1,0,0.8,12,4,8,60,41.8,65,23.2,24,21,45,45,boarding,True
T002,B12,S02,Market Street,2,6,7.8,18,2,24,60,50.2,79,28.8,29,33,62,107,schedule_gap,True
T002,B12,S03,Central Hospital,3,12,15.2,32,3,53,60,69.8,132,62.2,63,22,85,192,boarding,True
T002,B12,S04,University Gate,4,18,22.3,27,7,60,60,62.8,88,25.2,26,39,65,257,traffic,True
T002,B12,S05,Civic Center,5,24,28.7,16,8,60,60,47.4,47,0.0,0,26,26,283,boarding,True
T003,B12,S01,North Station,1,0,1.1,11,5,6,60,40.4,78,37.6,38,28,66,66,boarding,True
T003,B12,S02,Market Street,2,6,8.4,21,7,20,60,54.4,89,34.6,35,45,80,146,traffic,True
T003,B12,S03,Central Hospital,3,12,14.9,26,4,42,60,61.4,76,14.6,15,13,28,174,schedule_gap,True
T003,B12,S04,University Gate,4,18,21.9,24,7,59,60,58.6,77,18.4,19,43,62,236,traffic,True
T003,B12,S05,Civic Center,5,24,28.8,21,6,60,60,54.4,54,0.0,0,51,51,287,boarding,True
T004,B12,S01,North Station,1,0,0.8,14,2,12,60,44.6,46,1.4,2,43,45,45,boarding,True
T004,B12,S02,Market Street,2,6,8.0,18,7,23,60,50.2,96,45.8,46,27,73,118,traffic,True
T004,B12,S03,Central Hospital,3,12,15.4,34,5,52,60,72.6,121,48.4,49,37,86,204,boarding,True
T004,B12,S04,University Gate,4,18,22.3,19,4,60,60,51.6,66,14.4,15,37,52,256,boarding,True
T004,B12,S05,Civic Center,5,24,29.7,18,7,60,60,50.2,108,57.8,58,30,88,344,boarding,True
T005,B12,S01,North Station,1,0,0.5,9,1,8,60,37.6,37,0.0,0,32,32,32,boarding,True
T005,B12,S02,Market Street,2,6,7.2,22,6,24,60,55.8,55,0.0,0,43,43,75,traffic,True
T005,B12,S03,Central Hospital,3,12,15.7,29,8,45,60,65.6,153,87.4,88,58,146,221,traffic,True
T005,B12,S04,University Gate,4,18,22.3,22,9,58,60,55.8,62,6.2,7,30,37,258,schedule_gap,True
T005,B12,S05,Civic Center,5,24,29.0,6,7,57,60,33.4,39,5.6,6,34,40,298,schedule_gap,True
T006,B12,S01,North Station,1,0,0.9,19,4,15,60,51.6,89,37.4,38,19,57,57,boarding,True
T006,B12,S02,Market Street,2,6,7.9,26,6,35,60,61.4,85,23.6,24,33,57,114,boarding,True
T006,B12,S03,Central Hospital,3,12,15.1,35,7,60,60,74.0,117,43.0,43,28,71,185,boarding,True
T006,B12,S04,University Gate,4,18,22.2,21,6,60,60,54.4,95,40.6,41,25,66,251,boarding,True
T006,B12,S05,Civic Center,5,24,29.2,7,7,60,60,34.8,49,14.2,15,44,59,310,boarding,True
T007,B12,S01,North Station,1,0,0.6,8,2,6,60,36.2,36,0.0,0,34,34,34,schedule_gap,True
T007,B12,S02,Market Street,2,6,7.6,16,7,15,60,47.4,63,15.6,16,43,59,93,boarding,True
T007,B12,S03,Central Hospital,3,12,15.3,27,4,38,60,62.8,145,82.2,83,21,104,197,boarding,True
T007,B12,S04,University Gate,4,18,22.4,24,9,53,60,58.6,84,25.4,26,41,67,264,boarding,True
T007,B12,S05,Civic Center,5,24,28.8,9,7,55,60,37.6,51,13.4,14,13,27,291,schedule_gap,True
T008,B12,S01,North Station,1,0,0.7,14,5,9,60,44.6,44,0.0,0,41,41,41,boarding,True
T008,B12,S02,Market Street,2,6,7.8,13,0,22,60,43.2,69,25.8,26,42,68,109,schedule_gap,True
T008,B12,S03,Central Hospital,3,12,15.5,31,4,49,60,68.4,120,51.6,52,47,99,208,boarding,True
T008,B12,S04,University Gate,4,18,22.7,23,8,60,60,57.2,104,46.8,47,28,75,283,boarding,True
T008,B12,S05,Civic Center,5,24,30.0,12,7,60,60,41.8,85,43.2,44,34,78,361,schedule_gap,True
T009,B12,S01,North Station,1,0,0.7,14,2,12,60,44.6,58,13.4,14,26,40,40,schedule_gap,False
T009,B12,S02,Market Street,2,6,7.3,12,5,19,60,41.8,41,0.0,0,39,39,79,boarding,False
T009,B12,S03,Central Hospital,3,12,13.8,22,3,38,60,55.8,55,0.0,0,29,29,108,boarding,False
T009,B12,S04,University Gate,4,18,20.5,12,5,45,60,41.8,62,20.2,21,23,44,152,schedule_gap,False
T009,B12,S05,Civic Center,5,24,26.8,5,6,44,60,32.0,36,4.0,4,10,14,166,schedule_gap,False
T010,B12,S01,North Station,1,0,1.2,0,3,0,60,25.0,55,30.0,30,40,70,70,schedule_gap,False
T010,B12,S02,Market Street,2,6,7.3,16,7,9,60,47.4,49,1.6,2,7,9,79,boarding,False
T010,B12,S03,Central Hospital,3,12,13.4,24,5,28,60,58.6,60,1.4,2,5,7,86,boarding,False
T010,B12,S04,University Gate,4,18,20.1,13,5,36,60,43.2,75,31.8,32,11,43,129,boarding,False
T010,B12,S05,Civic Center,5,24,26.2,10,10,36,60,39.0,39,0.0,0,6,6,135,schedule_gap,False
T011,B12,S01,North Station,1,0,0.4,8,3,5,60,36.2,36,0.0,0,26,26,26,traffic,False
