trip_id,route_id,departure_time,is_peak,final_delay_sec
T001,B12,2026-08-03T07:00,True,362
T002,B12,2026-08-03T07:15,True,283
T003,B12,2026-08-03T07:30,True,287
T004,B12,2026-08-03T07:45,True,344
T005,B12,2026-08-03T08:00,True,298
T006,B12,2026-08-03T08:15,True,310
T007,B12,2026-08-03T08:30,True,291
T008,B12,2026-08-03T08:45,True,361
T009,B12,2026-08-03T09:00,False,166
T010,B12,2026-08-03T09:15,False,135
T011,B12,2026-08-03T09:30,False,198
T012,B12,2026-08-03T09:45,False,206
T013,B12,2026-08-03T10:00,False,208
T014,B12,2026-08-03T10:15,False,154
T015,B12,2026-08-03T10:30,False,273
T016,B12,2026-08-03T10:45,False,159
T017,B12,2026-08-03T11:00,False,164
T018,B12,2026-08-03T11:15,False,150
T019,B12,2026-08-03T11:30,False,149
T020,B12,2026-08-03T11:45,False,115
T021,B12,2026-08-03T12:00,False,149
T022,B12,2026-08-03T12:15,False,186
T023,B12,2026-08-03T12:30,False,93
T024,B12,2026-08-03T12:45,False,236
T025,B12,2026-08-03T13:00,False,130
T026,B12,2026-08-03T13:15,False,165
T027,B12,2026-08-03T13:30,False,200
T028,B12,2026-08-03T13:45,False,189
T029,B12,2026-08-03T14:00,False,106
T030,B12,2026-08-03T14:15,False,185
T031,B12,2026-08-03T14:30,False,230
T032,B12,2026-08-03T14:45,False,91
T033,B12,2026-08-03T15:00,False,121
T034,B12,2026-08-03T15:15,False,88
T035,B12,2026-08-03T15:30,False,212
T036,B12,2026-08-03T15:45,False,162
